Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Tourism,Haridwar,Haridwar district,Uttarakhand,A  city  situated on the right bank of the Ganges river at the foothills of the Shivalik ranges  ,"It is considered the ""gateway to gods"" ",a sacred place where pilgrims seek purification by taking holy dips in the Ganges river,,"A  city  situated on the right bank of the Ganges river at the foothills of the Shivalik ranges  considered the ""gateway to gods"" and a sacred place where pilgrims seek purification by taking holy dips in the river",,https://en.wikipedia.org/wiki/Haridwar,,,,,,,,,,,,,,,Art,Chandigarh,
Personalities,Sage Vashistha enlightenment cave,Shivpuri Range,Uttarakhand,One of the oldest and revered Vedic rishis or sages ,one of the Saptarishis credited as the chief author of Mandala 7 of the Rigveda,,,One of the oldest and revered Vedic rishis or sages and one of the Saptarishis credited as the chief author of Mandala 7 of the Rigveda,,https://en.wikipedia.org/wiki/Vasishtha,,,,,,,,,,,,,,,Rituals_and_Ceremonies,Manipur,
Tourism,the Hemkund Sahib Gurdwara,Chamoli district,Uttarakhand,"A  Sikh place of worship and pilgrimage site  devoted to Guru Gobind Singh located  at an elevation of 4,572 metres (15,000 feet)","pilgrimage site in Chamoli district, Uttarakhand, India.",finds mention in Dasam Granth. ,,"A  Sikh place of worship and pilgrimage site  devoted to Guru Gobind Singh located  at an elevation of 4,572 metres (15,000 feet)",,https://en.wikipedia.org/wiki/Gurdwara_Hemkund_Sahib,,,,,,,,,,,,,,,Cultural_Common_Sense,Meghalaya,
Tourism,Har ki Pauri,Haridwar,Uttarakhand,A sacred and most important religious place located on the banks of the Ganges river believed that bathing here leads to salvation,It means the feet of Lord Vishnu (Hari).,It is believed to be the exact spot where the Ganges leaves the mountains and enters the plains,,A sacred and most important religious place located on the banks of the Ganges river believed that bathing here leads to salvation,,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%B0_%E0%A4%95%E0%A5%80_%E0%A4%AA%E0%A5%8C%E0%A4%A1%E0%A4%BC%E0%A5%80,,,,,,,,,,,,,,,Transport,Mizoram,
Tourism,Bholanath,Kumaon,Uttarakhand,An epithet of the Hindu god Shiva as the lord of innocence,"Chand King, Udai Chand, disinherited his elder son  ,gave the Kingdom to his younger son and later the elder son,his wife ,their new born child became ghost and was worshiped from then",,,An epithet of the Hindu god Shiva as the lord of innocence,,https://en.wikipedia.org/wiki/Hindu_deities,https://uttarakhandtourism.gov.in/tourism-circuit-details/folk-gods-of-uttarakhand,,,,,,,,,,,,,,Medicine,Nagaland,
History,Surkanda Devi temple architecture,Dhanaulti in the Tehri Garhwal district,Uttarakhand,"A Hindu shrine  Situated at an altitude of approximately 2,756 metres (9,042 feet)  and one of the revered Shakti pitha sites","located near Dhanaulti in the Tehri Garhwal district of Uttarakhand, India. ","It is one of the revered Shakta pitha sites, associated with the mythological event where the head (Sir) of the goddess Sati is believed to have fallen, ",,"A Hindu shrine  Situated at an altitude of approximately 2,756 metres (9,042 feet)  and one of the revered Shakti pitha sites",,https://www.timesnownews.com/spiritual/religion/article/himalayan-temples-and-shrines-that-every-devotee-wants-to-trek-to-at-least-once-in-a-lifetime/701130,https://en.wikipedia.org/wiki/Surkanda_Devi,,,,,,,,,,,,,,0,Telangana,
Costume,Ghagara,Jaunsar-Bawar,Uttarakhand,A type of ethnic clothing for women often paired with a fitted blouse and a dupatta to complete a lehenga outfit,"is usually a 6 to 7 meters long piece of cloth, stitched together to form a long skirt","it's unique due to its sharp folds/pleats known as Luria,such a texture is achieved by heat-pleating the folds.",,A type of ethnic clothing for women often paired with a fitted blouse and a dupatta to complete a lehenga outfit," Rajasthan,Gujarat,Madhya Pradesh, Uttar Pradesh, Bihar, Haryana, Punjab, Himachal Pradesh, Jammu and Kashmir",https://en.wikipedia.org/wiki/Ghagra_choli,https://en.wikipedia.org/wiki/Jaunsari_people,,,,,,,,,,,,,,,Tripura,
Language,Kumaoni,Kumaon,Uttarakhand,"An Indo-Aryan language spoken by over two million people, as their first-language, by the people who have their origin in Kumaon",is written using the Devanagari script.,"UNESCO's Atlas of the World's Languages in Danger designates it as a language in the unsafe category, meaning it requires consistent conservation efforts.",,"An Indo-Aryan language spoken by over two million people, as their first-language, by the people who have their origin in Kumaon",,https://en.wikipedia.org/wiki/Kumaoni_people,,,,,,,,,,,,,,,,Bihar,
Religion,Shaivism,Kedarkhand (now Garhwal) and Manaskhand (Kumaon),Uttarakhand,One of the major Hindu traditions that worships Shiva ,"which is developed as an amalgam of pre-Aryan religions and traditions, Vedic Rudra, and post-Vedic traditions","Also  accommodating local traditions and Yoga, puja and bhakti",,"One of the major Hindu traditions that worships Shiva developed as an amalgam of pre-Aryan religions and traditions, Vedic Rudra, and post-Vedic traditions, accommodating local traditions and Yoga, puja and bhakti",,https://en.wikipedia.org/wiki/Shaivism,https://www.ijfmr.com/papers/2023/5/6506.pdf,,,,,,,,,,,,,,,Odisha,
Festival,Nanda Devi Raj Jaat,Chamoli district,Uttarakhand,A three-week-long pilgrimage and festival celebrated in Kurur Village Of Nandanagar,organised once every 12 years in Chamoli District of Garhwal region of Uttarakhand state in India,"involving a challenging trek covering around 280–290 km, with daily halts at various villages and high-altitude sites, culminating in religious ceremonies at Homkund",,A three-week-long pilgrimage and festival celebrated in Kurur Village Of Nandanagar,,https://en.wikipedia.org/wiki/Nanda_Devi_Raj_Jat,,,,,,,,,,"A three-week-long pilgrimage and festival celebrated in Kurur Village Of Nandanagar, associated with Chamoli district of a state widely known for Bholanath.  According to you which one of the following this statement points to",,,,,,Rajasthan,
Dance_and_Music,Algoza,Kutch,Uttarakhand,A traditional musical wind instrument, typically made of two joined beak flutes,"one flute plays the melody, while the other provides a drone",,"A traditional musical wind instrument, typically made of two joined beak flutes, one flute plays the melody, while the other provides a drone",,https://en.wikipedia.org/wiki/Alghoza,https://en.wikipedia.org/wiki/Alghoza,,,,,,,,,,,,,,,Gujarat,
Festival,Ramman festival,Garhwal,Uttarakhand,A religious festival and ritual theatre celebrated annually in the twin villages of Saloor-Dungra ,honors the local deity Bhumiyal Devta," involves theatrical performances, music, and traditional oral and written tales",,"A religious festival and ritual theatre celebrated annually in the twin villages of Saloor-Dungra honors the local deity Bhumiyal Devta and involves theatrical performances, music, and traditional oral and written tales",,https://en.wikipedia.org/wiki/Ramman_(festival),,,,,,,,,,,,,,,,Madhya_Pradesh,
History,Ganges,Devprayag,Uttarakhand,"A 2,525-kilometre-long (1,569 mi) trans-boundary river",considered as one of the holiest flowing through the Himalayas,,,"A 2,525-kilometre-long (1,569 mi) trans-boundary river also considered as one of the holiest flowing through the Himalayas",,https://en.wikipedia.org/wiki/Ganges,,,,,,,,,,,,,,,,Maharashtra,
History,Kumaon,Manaskhand,Uttarakhand,An Indo-Aryan ethnolinguistic group and is believed to be the birth place of Kurma avatar of Hindu god Vishnu, the region has been ruled by several dynasties over the course of history; most notably the Katyuris and the Chands,,,An Indo-Aryan ethnolinguistic group and is believed to be the birth place of Kurma avatar of Hindu god Vishnu,,https://en.wikipedia.org/wiki/Kumaoni_people,,,,,,,,,,,,,,,,Goa,
Festival,Uttarayani festival,Kumaon,Uttarakhand,"An annual fair that marks the occasion of Makar Sankranti, typically taking place in the second week of January","It marks the occasion of Makar Sankranti, typically taking place in the second week of January",This astronomical event marks the end of the winter solstice and the beginning of longer days.,,"An annual fair that marks the occasion of Makar Sankranti, typically taking place in the second week of January",,https://en.wikipedia.org/wiki/Uttarayani_Fair,,,,,,,,,,,,,,,,Uttar_Pradesh,
Language,Kumaoni dialects,Kumaon,Uttarakhand,An Indo-Aryan language spoken by over two million people,UNESCO's Atlas of the World's Languages in Danger designates it as a language in the unsafe category,,,An Indo-Aryan language spoken by over two million people,,https://en.wikipedia.org/wiki/Kumaoni_people,,,,,,,,,,,,,,,,Karnataka,
Dance_and_Music,Choliya dance,Kumaon,Uttarakhand,A traditional folk dance which is a symbol of Kumaoni and Sudurpashchimi cultures performed on many auspicious occasions,"It has today become a symbol of Kumaoni and Sudurpashchimi (mainly in Doti, Baitadi and Darchula districts) cultures.",It is basically a sword dance accompanying a marriage procession but now it is performed on many auspicious occasions.,,A traditional folk dance which is a symbol of Kumaoni and Sudurpashchimi cultures performed on many auspicious occasions,,https://en.wikipedia.org/wiki/Chholiya,,,,,,,,,,,,,,,,Jharkhand,
Dance_and_Music,Ransingha,Almora district,Uttarakhand,A  type of primitive trumpet made of copper or copper alloys ,It is part of a group of curved-tube instruments,"The instrument is made of two metal curves, joined to form an ""S"" shape.",,A  type of primitive trumpet made of copper or copper alloys ,,https://en.wikipedia.org/wiki/Ransingha,,,,,,,,,,,,,,,,Kerala,
Cuisine,Bal Mithai,Kumaon,Uttarakhand,"A brown chocolate-like fudge, made with roasted khoya and coated with white balls made of sugar coated roasted poppy seeds",must have been the name of the prime offering to the Sun God,,,"A brown chocolate-like fudge, made with roasted khoya and coated with white balls made of sugar coated roasted poppy seeds",,https://en.wikipedia.org/wiki/Bal_mithai,,,,,,,,,,,,,,,,Lakshadweep,
Cuisine,Kafuli,Kumaon,Uttarakhand,A delicacy prepared out of leafy greens such as palak and methi leaves,We also call this cuisine ‘Palak Ka Kapa,,,A delicacy prepared out of leafy greens such as palak and methi leaves,,https://indianculture.gov.in/food-and-culture/timeless-recipes/kafuli,https://www.uttarakhandi.com/kafuli-palak-ka-kapa/,,,,,,,,,,,,,,,Tamil_Nadu,
Tourism,Lakhudiyar Caves,Barechhina village at the banks of the Suyal River in the Almora district,Uttarakhand,A  Caves at the banks of the Suyal River ,"walls of the caves are paintings depicting animals, humans and also tectiforms, created with fingers in black, red and white",,,"A  Caves at the banks of the Suyal River and the walls of the caves are paintings depicting animals, humans and also tectiforms, created with fingers in black, red and white",,https://en.wikipedia.org/wiki/Lakhudiyar_Caves,,,,,,,,,,,,,,,,Ladakh,
Tourism,Nagarjunsagar-Srisailam Tiger Reserve,"Nandyal,Prakasakam,Palnadu,Nalgonda,Mahabub Nagar districts",Andhra_Pradesh,The largest tiger reserve located in the Nallamala hills  ,"encompassing an area of 3,728 km2 (1,439 sq mi) and its core area is 1,200 km2 (460 sq mi)",,,"The largest tiger reserve located in the Nallamala hills  encompassing an area of 3,728 km2 (1,439 sq mi) and its core area is 1,200 km2 (460 sq mi)",,https://en.wikipedia.org/wiki/Nagarjunsagar-Srisailam_Tiger_Reserve,,,,,,,,,,,,,,,,Delhi,
Sports,Etikoppaka toys,Anakapalli district,Andhra_Pradesh,A traditionally crafted wooden toys from the village of Etikoppaka ," renowned for their vibrant colors, smooth contours, and use of natural dyes and lacquer",,,"A traditionally crafted wooden toys from the village of Etikoppaka renowned for their vibrant colors, smooth contours, and use of natural dyes and lacquer",,https://en.wikipedia.org/wiki/List_of_wooden_toys,,,,,,,,,,,,,,,,Dadra_and_Nagar_Haveli_and_Daman_and_Diu,
Dance_and_Music,Bobbili Veena,Bobbili of Vizianagaram district,Andhra_Pradesh,A large plucked string instrument used in Carnatic classical music ,"the Veena is named after Bobbili, a place where it was invented",,,"A large plucked string instrument used in Carnatic classical music and the Veena is named after Bobbili, a place where it was invented",,https://en.wikipedia.org/wiki/Bobbili_veena,,,,,,,,,,,,,,,,Assam,
Art,Durgi stone craft,village of Durgi in the Palnadu District,Andhra_Pradesh,A stone carvings made from a special kind of lime stone ,"known for its intricate stone carvings, particularly from soft limestone called ""Suddha Rai""",,,"A stone carvings made from a special kind of lime stone known for its intricate stone carvings, particularly from soft limestone called ""Suddha Rai""",,https://www.incredibleindia.gov.in/en/andhra-pradesh/durgi-stone-carvings,https://palnadu.ap.gov.in/odop/,,https://asiainch.org/craft/stone-carving-of-andhra-pradesh/,,,,,,,,,,,,,Haryana,
Art,Pedana kalamkari,Machilipatnam,Andhra_Pradesh,"A traditional Indian textile art form, particularly known for its block-printing technique using natural dyes originated in Pedana",also known as Machilipatnam style of Kalamkari work which involves vegetable dyed block-painting of a fabric.,,,"A traditional Indian textile art form, particularly known for its block-printing technique using natural dyes originated in Pedana",,https://en.wikipedia.org/wiki/Pedana_kalamkari,,,,,,,,,,,,,,,,Puducherry,
History,Undavalli cave architecture,Guntur district,Andhra_Pradesh,A monolithic Indian rock-cut architecture located south west of Vijayawada ,is one of the centrally protected Monuments of National Importance,,,A monolithic Indian rock-cut architecture located south west of Vijayawada and is one of the centrally protected Monuments of National Importance,,https://en.wikipedia.org/wiki/Undavalli_Caves,,,,,,,,,,,,,,,,0,
Art,Narayanpet handloom,Narayanpet,Andhra_Pradesh,A historic legacy behind the handloom industry known for their cotton and silk varieties ,are characterized by a unique checked surface design with embroidery,,,A historic legacy behind the handloom industry known for their cotton and silk varieties and are characterized by a unique checked surface design with embroidery,,https://telanganatourism.gov.in/partials/about/arts-crafts/narayanpet-handlooms.html,https://narayanpet.telangana.gov.in/handicraft/,,,,,,,,,,,,,,,"Gujrat, Rajasthan, Madhya_Pradesh, West_Bengal and Tripura",
Costume,Dharmavaram silk sarees,Dharmavaram of Anantapur district,Andhra_Pradesh,A prized handloom product woven by hand with mulberry silk and zari often inspired by temple murals and paintings,"The saris are worn in winter or cold conditions, for functions, and are mostly used by dancers of Bharatanatyam and Kuchipudi",,,A prized handloom product woven by hand with mulberry silk and zari often inspired by temple murals and paintings,,https://www.utsavpedia.com/textiles/silk-crusted-with-elegance-and-splendor-dharmavaram-silk/,https://en.wikipedia.org/wiki/Dharmavaram_handloom_pattu_sarees_and_paavadas,,,,,,,,,,,,,,,"Tibet, India",
Art,Amaravati school of sculpture,Amaravati,Andhra_Pradesh,An ancient Indian art style from 2nd century BCE to the end of the 3rd century CE ,also called the Andhra School or Vengi School,,,An ancient Indian art style from 2nd century BCE to the end of the 3rd century CE also called the Andhra School or Vengi School,,https://en.wikipedia.org/wiki/Amaravati_art,,,,,,,,,,,,,,,,,
Art,Kumbhakonam terracotta pottery,Kumbhakonam,Andhra_Pradesh,A clay-based non-vitreous ceramic fired at relatively low temperatures,is a term often used for red-coloured earthenware sculptures,,,A clay-based non-vitreous ceramic fired at relatively low temperatures,,https://en.wikipedia.org/wiki/Terracotta,,,,,,,,,,,,,,,,,
History,Undavalli Caves,Guntur district,Andhra_Pradesh,The monolithic Indian rock-cut architecture,located south west of Vijayawada and is one of the centrally protected Monuments of National Importance,,,The monolithic Indian rock-cut architecture located south west of Vijayawada and is one of the centrally protected Monuments of National Importance,,https://en.wikipedia.org/wiki/Undavalli_Caves,,,,,,,,,,,,,,,,,
Art,Srikalahasti kalamkari,Srikalahasti of Tirupati district,Andhra_Pradesh,"A traditional hand-painted textile art form known for its intricate designs, natural dyes, and unique techniques ","where artists use a ""kalam"" (pen) to draw and paint intricate designs on fabric.",,,"A traditional hand-painted textile art form known for its intricate designs, natural dyes, and unique techniques where artists use a ""kalam"" (pen) to draw and paint intricate designs on fabric. ",,https://laasyaart.com/kalamkari-a-traditional-indian-art-of-perfection/,https://en.wikipedia.org/wiki/Srikalahasti_kalamkari,,,,,,,,,,,,,,,,
Art,Lepakshi temple frescos,Lepakshi,Andhra_Pradesh," The Paintings created during the 16th century, cover the ceilings and walls of the temple, depicting stories from mythology, religious texts, and courtly life","The paintings cover the ceilings of many parts of the temple, as well as the walls of the Virabhadra shrine,",,,"The Paintings created during the 16th century, cover the ceilings and walls of the temple, depicting stories from mythology, religious texts, and courtly life",,https://www.peepultree.world/livehistoryindia/story/monuments/the-painted-wonders-of-lepakshi?srsltid=AfmBOooBxsfQn1BX6pK7rXW3t8pQdKiLhr_7W01q_9UNz2z1ljYONm0O,https://www.incredibleindia.gov.in/en/andhra-pradesh/anantapur/lepakshi-temple,,,,,,,,,,,,,,,,
Costume,Mangalagiri cotton sarees,"Mangalagiri, a town in Guntur district",Andhra_Pradesh,"A traditional handloom cotton sarees known for their simple, elegant designs and the distinctive ""Nizam Border""",is produced by weaving with the help of pitlooms from combed yarn by warp and woof interlacing. ,,,"A traditional handloom cotton sarees known for their simple, elegant designs and the distinctive ""Nizam Border""",,https://www.utsavpedia.com/textiles/mangalgiri-sari-from-the-fine-edges-of-andhra-pradesh/,https://en.wikipedia.org/wiki/Mangalagiri_sarees_and_fabrics,,,,,,,,,,,,,,,,
Dance_and_Music,Kuchipudi dance,Kuchipudi village,Andhra_Pradesh,"A classical dance style known for its graceful movements, intricate footwork, and expressive storytelling through dance ",often featuring both male and female dancers,,,"A classical dance style known for its graceful movements, intricate footwork, and expressive storytelling through dance ,often featuring both male and female dancers",,https://en.wikipedia.org/wiki/Kuchipudi,,,,,,,,,,,,,,,,,
Dance_and_Music,Dhimsa dance,Araku Valley and Borra Caves,Andhra_Pradesh,"A tribal dance form that is primarily performed by the Bagata, Valmiki, Poraja, Khond, Gadaba, Kondadora, Mukadora, and Kotia tribes",originated in Koraput district in the Odisha State,,,"A tribal dance form that is primarily performed by the Bagata, Valmiki, Poraja, Khond, Gadaba, Kondadora, Mukadora, and Kotia tribes",,https://en.wikipedia.org/wiki/Dhimsa,,,,,,,,,,,,,,,,,
Festival,Urus festival processions,Kadapa,Andhra_Pradesh,"The death anniversary of a Sufi saint, usually held at the saint's dargah ","often involve carrying the flag of the saint, music, and various rituals, attracting large crowds of devotees",It is generally played as a relief time during their working hours.,,"The death anniversary of a Sufi saint, usually held at the saint's dargah often involve carrying the flag of the saint, music, and various rituals, attracting large crowds of devotees",,https://www.thehindu.com/news/national/andhra-pradesh/urs-festival-draws-large-crowds/article34155262.ece,https://www.utsav.gov.in/public/view-event/ameen-peer-dargha-ursu-kadapa-1,,,,,,,,,,,,,,,,
Dance_and_Music,Annamayya poetry,Kadapa,Andhra_Pradesh,"A Telugu musician, composer, and a Hindu saint ","his devotional samkirtanas were in the praise of Venkateswara, a form of Vishnu",,,"A Telugu musician, composer, and a Hindu saint and his devotional samkirtanas were in the praise of Venkateswara, a form of Vishnu",,https://en.wikipedia.org/wiki/Annamacharya,,https://en.wikipedia.org/wiki/Urs,,,,,,,,,,,,,,,
Cuisine,Pootharekulu,Village Atreyapuram in the East Godavari district,Andhra_Pradesh,"A popular Indian sweet  wrapped in a wafer-thin rice starch layer resembling paper and is stuffed with sugar, dry fruits and nuts","The sweet is popular for festivals, religious occasions and weddings in the Telugu states.",It is said that a village woman first prepared the sweet by adding sugar and ghee to leftover rice starch,,"A popular Indian sweet  wrapped in a wafer-thin rice starch layer resembling paper and is stuffed with sugar, dry fruits and nuts",,https://en.wikipedia.org/wiki/Pootharekulu,,,,,,,,,,,,,,,,,
Dance_and_Music,Annamacharya's keertanas,"Tallapaka, Near Rajampet Mandalam, a village in present-day Annamayya district",Andhra_Pradesh,A Devotional songs also known as padams praising Lord Venkateswara,"His devotional samkirtanas were in the praise of Venkateswara, a form of Vishnu.",,,A Devotional songs also known as padams praising Lord Venkateswara,,http://www.telugubhakti.com/telugupages/monthly/keertanas/annamayya.htm,https://en.wikipedia.org/wiki/Annamacharya,,,,,,,,,,,,,,,,
Cuisine,Oliga,Ananthapuramu,Andhra_Pradesh,"An  Indian sweet flatbread also known as puran puri, holige, obbattu, bobbatlu, poley, bakshamulu, and boli",It is served hot and eaten by applying a layer of ghee to it,It is called obattu in Rayalaseema region of Andhra Pradesh and poli in northeast Andhra Pradesh.,,"An  Indian sweet flatbread also known as puran puri, holige, obbattu, bobbatlu, poley, bakshamulu, and boli",,https://en.wikipedia.org/wiki/Puran_poli,,,,,,,,,,,,,,,,,
Costume,Langa Voni,Rayalaseema or Coastal Andhra,Andhra_Pradesh,A traditional dress worn by girls between puberty and marriage also known as the two-piece sari or half sari,A variant of this is the ghagra choli of North India ,"It comprises a langa or paavadai, a skirt which is tied around the waist using string, and a voni, oni, or daavani, which is a cloth usually 2 to 2.5 metres",,A traditional dress worn by girls between puberty and marriage also known as the two-piece sari or half sari,,https://en.wikipedia.org/wiki/Langa_voni,,,,,,,,,,,,,,,,,
Sports,Kondapalli wooden toys,Kondapalli village,Andhra_Pradesh,"A traditional wooden toys known for their vibrant colors, intricate designs, and the unique craftsmanship ",has been passed down through generations,,,"A traditional wooden toys known for their vibrant colors, intricate designs, and the unique craftsmanship that has been passed down through generations",,https://en.wikipedia.org/wiki/Kondapalli_toys,,,,,,,,,,,,,,,,,
Art,Eluru carpets,Eluru,Andhra_Pradesh,A hand-knotted Eluru carpets  ,"often referred to as Deccan rugs, due to the patronage of Deccan rulers crafted using traditional techniques passed down through generations",resulting in intricate patterns and vibrant colors,,"A hand-knotted Eluru carpets , often referred to as Deccan rugs, due to the patronage of Deccan rulers crafted using traditional techniques passed down through generations, resulting in intricate patterns and vibrant colors",,https://lepakshihandicrafts.gov.in/product/carpet-5/,,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Tholu Bommalata puppets,"Anantapur,",Andhra_Pradesh,"A form of shadow puppetry characterized by life-sized, vibrant leather puppets",made from goat or sheep skin,are painted with natural colors on both sides to create a visual effect when projected onto a screen,,"A form of shadow puppetry characterized by life-sized, vibrant leather puppets, made from goat or sheep skin, are painted with natural colors on both sides to create a visual effect when projected onto a screen",,https://en.wikipedia.org/wiki/Tholu_bommalata,,,,,,,,,,,,,,,,,
Art,Udayagiri wooden cutlery,Udayagiri,Andhra_Pradesh,A Cultural Heritage and Craftsmanship recognized by the Indian Government and granted the Geographical Indication tag in 2015,,"Consisting of finely carved spoons, forks, knives and bowls, it is one of the rare traditional artforms which is as utilitarian as it is decorative.",,A Cultural Heritage and Craftsmanship recognized by the Indian Government and granted the Geographical Indication tag in 2015,,https://spsnellore.ap.gov.in/odop-uwc/,,,,,,,,,,,,,,,,,
Dance_and_Music,Kuchipudi,Kuchipudi village,Andhra_Pradesh,"One of the eight major Indian classical dances known for its graceful movements, intricate footwork, and expressive storytelling through dance, music, and song",is named after the village in Krishna district of Andhra Pradesh ,with its roots in the ancient Hindu Sanskrit text of Natya Shastra,,"One of the eight major Indian classical dances known for its graceful movements, intricate footwork, and expressive storytelling through dance, music, and song",,https://en.wikipedia.org/wiki/Kuchipudi,,,,,,,,,,,,,,,,,
Language,Kommu Koya,ASR districts,Andhra_Pradesh,A sub-group officially recognized as a Scheduled Tribe retains unique cultural traits ,is categorized under the broader Koya ST community for government and legal identification,,,A sub-group officially recognized as a Scheduled Tribe retains unique cultural traits but is categorized under the broader Koya ST community for government and legal identification,"Chhattisgarh,Odisha.",https://en.wikipedia.org/wiki/Koya_(tribe),,,,,,,,,,,,,,,,,
