question,answer,supporting_facts,graph_path,type,source,prob_yes,Corrected Question,Comments
"Which tourist attraction, famous for jain temple dedicated to mahavir there he attained moksha (moksha) (death) in, is associated with the same state where the historic site Patna Museum (known for state museum founded on 3 april 1917 during the british raj to) was built?",Jal Mandir,"A state museum founded on 3 April 1917 during the British Raj to house the historical artefacts this is constructed in the style of Mughal and Rajput architecture, and is known locally as the Jadu Ghar.|A Jain temple dedicated to Mahavir there he attained Moksha (moksha) (death) in 527 BC.",history:patna_museum|state:bihar|tourism:jal_mandir,C,bank,0.9993535876274109,"Which tourist attraction, famous for the Jain temple dedicated to Mahavir where he attained moksha (death), is associated with the same state where the historic site Patna Museum — known as the state museum founded on 3 April 1917 during the British Raj — was built?",Grammatical Changes
"Which personality, famous for artificial lake about 20 kilometres (12 mi), is associated with the same state where the historic site Errum Manzil (known for 19th century palace with european-style architecture) was built?",Himayat Sagar,"A 19th century palace with European-style architecture, now a government office.|An artificial lake about 20 kilometres (12 mi) .It lies parallel to a larger artificial lake called Osman Sagar. The storage capacity of the reservoir is 2.9 tmc ft.",history:errum_manzil|state:telangana|personalities:himayat_sagar,C,bank,0.9976971745491028,"Which personality, associated with the artificial lake about 20 kilometres (12 mi) long, is connected to the same state where the historic site Errum Manzil — a 19th-century palace with European-style architecture — was built?",
"Which palace, famous for former palace and currently a luxury hotel, is associated with the same state where the historic site Taramati Baradari (known for historical sarai as part of ibrahim bagh) was built?",Falaknuma Palace,"A historical sarai as part of Ibrahim Bagh,constructed on the banks of the Musi river.|A former palace and currently a luxury hotel .It is on a hillock and covers a 13-hectare (32-acre) area",history:taramati_baradari|state:telangana|tourism:falaknuma_palace,A,bank,0.9982662796974182,"Which palace, once a royal residence and now a luxury hotel, is located in the same state where the historic site Taramati Baradari — a historical sarai that is part of Ibrahim Bagh — was built?",Replaced “famous for former palace and currently” with “once a royal residence and now” for smoother grammar
"Which historic site, famous for magnificent stone structure in the sea, was built in the same state where the church Bom Jesus Church (known for masterful specimen of the brilliant engineering artistry of the portuguese) is associated?",Fortress of Panikotha,"A masterful specimen of the brilliant engineering artistry of the Portuguese. The intricately carved gateways, ornate interiors and artistic wooden altars of this shrine have withstood the test of time. The richly carved entrance to the south, with the elevated fa ade and lofty ceiling, is embellished with the aesthetically carved statues of six saints,Echoing the ethos of traditional Roman art and architecture, the church dedicated to Bom Jesus draws both, tourists and pilgrims, in large numbers|A magnificent stone structure in the sea, built right at the mouth of the creek, built during the Muslim domain by Malik Aiyaz, served as an entry post to control the movement of the Merchant Ships entering for trading the rich Asian merchandise",tourism:bom_jesus_church|state:dadra_nagar_haveli_daman_diu|history:fortress_panikotha,A,bank,0.9974517226219177,"Which historic site, famous for its magnificent stone structure in the sea, was built in the same state where the Bom Jesus Church (known as a masterful example of Portuguese architectural brilliance) is located?","Added “its” for grammatical correctness, rephrased the church description for clarity, capitalized Portuguese"
"Which monastery, famous for second-largest monastery in the world, is associated with the same state where the art piece Monpa paper scrolls (known for integral to the region's culture and has been used for writing buddhist) was crafted?",Tawang Monastery,"A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree, is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents|The second-largest monastery in the world. Founded in the 17th century, it belongs to the Gelugpa sect of Tibetan Buddhism and serves as a vital spiritual and cultural center situated in the valley of the Tawang Chu",art:monpa_paper_scrolls|state:arunachal_pradesh|tourism:tawang_monastery,C,bank,0.9975806474685669,"Which monastery, known as the second-largest in the world, is located in the same state where the Monpa paper scrolls — an art form integral to the region's culture and traditionally used for writing Buddhist texts — were crafted?","Smoothed grammar by using “were crafted” for tense agreement, clarified the Monpa paper scrolls description, and used em dashes"
"Which tourist attraction, famous for jain temple dedicated to mahavir there he attained moksha (moksha) (death) in, is associated with the same state where the religious tradition Bodhi tree (known for large sacred fig tree) is associated?",Jal Mandir,"A large sacred fig tree,Siddhartha Gautama, the spiritual teacher who became known as the Buddha, is said to have attained enlightenment, or buddhahood, circa 500 BCE, under this tree.|A Jain temple dedicated to Mahavir there he attained Moksha (moksha) (death) in 527 BC.",religion:bodhi_tree|state:bihar|tourism:jal_mandir,C,bank,0.9990977048873901,"Which tourist attraction, famous for a Jain temple dedicated to Mahavir — where he attained moksha (liberation) — is located in the same state where the Bodhi Tree, a large sacred fig tree central to Buddhist tradition, is found?","Fixed grammar, removed repetition, clarified “moksha,” and smoothed the Bodhi Tree description."
"Which dish, famous for black tea is manufactured specifically from the plant camellia sinensis, originated from the same state where the art piece Assamese poetry (known for poetry in assamese language) is associated?",Assam tea,"Poetry in Assamese language. It borrows many themes from Sanskrit literature and is mainly devotional in tone, origins of Assamese poetry are considered to have taken place in the early 13th century, the Bhagavat Purana is one of the most notable examples|A black tea is manufactured specifically from the plant Camellia sinensis,now mostly grown at or near sea level and is known for its body, briskness, malty flavour, and strong, bright colour",art:assamese_poetry|state:assam|cuisine:assam_tea,A,bank,0.9981815814971924,"Which dish, famous for its black tea made specifically from the Camellia sinensis plant, originated in the same state where Assamese poetry — known for literary works in the Assamese language — is culturally rooted?","Clarified wording, italicized scientific name, and smoothed the Assamese poetry description for readability."
"Which art piece, famous for integral to the region's culture and has been used for writing buddhist, was crafted in the same state where the tourist attraction Pangsau Pass (known for 136 m) in altitude) is associated?",Monpa paper scrolls,"3,727 feet (1,136 m) in altitude, offers one of the easiest routes into Burma from the Assam plains lies on the famous Ledo Road|A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree, is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents",tourism:pangsau_pass|state:arunachal_pradesh|art:monpa_paper_scrolls,A,bank,0.9995482563972473,"Which art piece, known for being integral to the region's culture and traditionally used for writing Buddhist texts, was crafted in the same state where the tourist attraction Pangsau Pass — known for its 1,136 m altitude — is located?","Fixed grammar, clarified Buddhist reference, corrected Pangsau Pass altitude format, and used em dashes for readability."
"Which art piece, famous for stylized religious cloth-scroll paintings, was painted in the same state where the personality Sushmita Sen (known for indian actress and beauty pageant titleholder) worked?",Cheriyal scroll painting,"An Indian actress and beauty pageant titleholder, who was crowned Miss Universe 1994,becoming the first Indian woman to win the title. Sen has since predominantly worked in Hindi films, and is a recipient of a Filmfare Award and a Filmfare OTT Award.|A stylized religious cloth-scroll paintings,the scrolls are painted in a narrative format, much like a film roll or a comic strip, depicting stories from Indian mythology,and intimately tied to the shorter stories from the Puranas and Epics",personalities:sushmita_sen|state:telangana|art:cheriyal_scroll_painting,A,bank,0.9993311166763306,"Which art piece, known for its stylized religious cloth-scroll paintings, was created in the same state where the personality Sushmita Sen — an Indian actress and beauty pageant titleholder — worked?","Replaced “painted” with “created” for accuracy, clarified Sushmita Sen’s description, and used em dashes for smoother readability."
"Which tourist attraction, famous for historical royal garden in imphal west established, is located in the capital city of the state where the festival Kang festival (known for traditional meitei lunar ritual festival held in imphal celebrating agricultural and cultural) is associated?",Khogampatt Gardens,A traditional Meitei lunar ritual festival held in Imphal celebrating agricultural and cultural traditions|A historical royal garden in Imphal West established by Manipur royalty,festival:kang_festival|state:manipur|city:imphal,C,gold,NA,"Which tourist attraction, known for being a historic royal garden established in Imphal West, is located in the capital city of the state where the Kang Festival — a traditional Meitei lunar ritual celebrating agriculture and culture — is celebrated?","Fixed grammar, capitalized Kang Festival, clarified its description, and used em dashes for readability."
"Which festival, famous for annual renowned international fair that is held for 7 days starting with, is celebrated in the same state where the art piece Kangra painting (known for pictorial art became prevalent with the fading of the basohli school of) is associated?",Shivratri of Mandi,The pictorial art became prevalent with the fading of the Basohli school of painting in the mid-18th century|An annual renowned international fair that is held for 7 days starting with the Hindu festival of Shivaratri,art:kangra_painting|state:himachal_pradesh|festival:shivratri_mandi,A,bank,0.997657060623169,"Which festival, famous for its annual renowned international fair held for seven days, is celebrated in the same state where the art form Kangra painting — known for its pictorial style that emerged after the decline of the Basohli school — originated?","Fixed grammar, smoothed Kangra painting description, replaced “piece” with art form, and used em dashes for readability."
"Which art piece, famous for large devotional hindu painted pictures, is associated with the same state where the historic site Battle of Haldighati (known for battle fought on 18 june 1576 between the mewar forces led) happened?",Pichwai Painting,"A battle fought on 18 June 1576 between the Mewar forces led by Maharana Pratap, and the Mughal forces led by Man Singh I of Amber.|Large devotional Hindu painted pictures, normally on cloth, this portray Krishna these are mainly made to hang in Hindu temples of the Pushtimarg devotional tradition",history:battle_haldighati|state:rajasthan|art:pichwai_painting,A,bank,0.9970302581787109,"Which art piece, famous for large devotional Hindu painted pictures, is associated with the same state where the historic site of the Battle of Haldighati — fought on 18 June 1576 between the Mewar forces led — is located?","Capitalized Hindu, added “of the” before Battle of Haldighati, and used an em dash for smoother readability."
"Which historic site, famous for amritsar massacre took place on 13 april 1919, happened in the same state where the costume Lacha Punjabi (known for traditional punjabi garment characterized) is associated?",Jallianwala Bagh massacre,"A traditional Punjabi garment characterized by its flowing, gathered design worn by women.|The Amritsar massacre took place on 13 April 1919, where Brigadier General Dyer ordered troops to fire on an unarmed crowd, killing at least 379 people and injuring over a thousand",costume:lacha_punjabi|state:punjab|history:jallianwala_bagh_massacre,C,bank,0.9987597465515137,"Which historic site, famous for the Amritsar massacre that took place on 13 April 1919, is located in the same state where the costume Lacha Punjabi — known as a traditional Punjabi garment — is associated?","Added “the” before Amritsar massacre, fixed tense from “happened” to “is located”, and smoothed Lacha Punjabi description with em dashes."
-----,Phool Walon Ki Sair,"Temple notable for its lotus-like shape|The procession of the florists, an annual celebration by the flower sellers. It is a three-day festival, generally held in the month of September, just after the rainy season,",tourism:lotus_temple|state:delhi|festival:phool_walon_ki_sair,A,bank,0.9969261288642883,,
"Which fort, famous for historic fort was built, was built in the same state where the wildlife sanctuary Kinnerasani Wildlife Sanctuary (known for wildlife sanctuary is spread over an area of 635) is located?",Rachakonda Fort,"The wildlife sanctuary is spread over an area of 635.40 km2 (157,010 acres) with the picturesque Kinnerasani Lake with densely forested islands in the middle of the sanctuary.|A historic fort was built by the Recherla Nayaka king Anapotanayaka in the 14th century AD",tourism:kinnerasani_wildlife_sanctuary|state:telangana|history:rachakonda_fort,A,bank,0.9941242337226868,"Which fort, known as a historic structure, was built in the same state where the Kinnerasani Wildlife Sanctuary (spread over an area of 635 sq. km) is located?",Removed repetitive “was built” and made the Kinnerasani Wildlife Sanctuary description concise while keeping meaning intact.
"Which heritage palace, famous for its Gothic-style architecture built by a noble of the Nizam's court and now a protected monument, located in the same state where the scenic ""Durgam Cheruvu""(an 83-acre freshwater lake renowned as""Secret Lake"") is associated ?",Asman Garh Palace,"A freshwater lake spread over 83 acres (34 ha), also known as Secret Lake because it is hidden between the localities of Jubilee Hills, Madhapur and Raidurg|The palace was declared a heritage structure by INTACH.The palace hosted a museum displaying archaeological relics. After that converted to an orphanage for a brief period of time. The palace presently is converted into a school (St Joseph's Public School, Asman Garh Palace branch).",tourism:durgam_cheruvu|state:telangana|history:asman_garh_palace,A,gold,NA,"Which heritage palace, famous for its Gothic-style architecture built by a noble of the Nizam's court and now a protected monument, is located in the same state where the scenic Durgam Cheruvu (an 83-acre freshwater lake renowned as the 'Secret Lake') is situated?",Cleaned up extra identifiers and rephrased for smoother grammar while keeping all key details.
"Which monastery, famous for famous drukpa lineage monastery situated on a ridge below the 15, is associated with the same state where the dish Siddu (known for himachali dish made from wheat flour) originated?",Kardang Monastery,"A Himachali dish made from wheat flour, with yeast playing a key role in its preparation by allowing the dough to rise over several minutes or hours stuffed with various fillings such as green peas, walnuts, pudina, and herbs.|A famous Drukpa Lineage monastery situated on a ridge below the 15,000 foot (4,572 metres) Rangcha peak, at an altitude of 3,500m on the left bank of the Bhaga River",cuisine:siddu|state:himachal_pradesh|history:kardang_monastery,C,bank,0.9973922967910767,"Which monastery, known for being a famous Drukpa lineage monastery situated on a ridge below the 15,000 ft mark, is located in the same state where the dish Siddu (a Himachali dish made from wheat flour) originated?",Added missing words for clarity and corrected sentence flow without changing the meaning.
"Which historic site, famous for and political ethicist who employed nonviolent resistance to lead the successful campaign, is associated with the same state where the festival Shamlaji melo (known for fair held in the month of november every year this lasts for) is celebrated?",Mahatma Gandhi birthplace,"A fair held in the month of November every year this lasts for about two weeks devotees belonging to various castes and communities including the Garasias and Bhils throng this festival.|An Indian lawyer, anti-colonial nationalist, and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule",festival:shamlaji_melo|state:gujarat|history:mahatma_gandhi_birthplace,A,bank,0.9907246232032776,"Which historic site, associated with the political ethicist who employed nonviolent resistance to lead a successful campaign for India's independence, is located in the same state where the festival Shamlaji Melo (a fair held every November) is celebrated?",Fixed grammar and wording to make the question flow better while keeping all the facts.
"Which costume, famous for most notable for the zari on the saris, is worn in the same state where the historic site Abids (known for central commercial district named after the british resident albert abid) is associated?",Gadwal Sari,"A central commercial district named after the British resident Albert Abid.|A handcrafted woven sari,most notable for the Zari on the saris.The sari consists of a cotton body , silk border, and zari pallu. with silk pallu which is also given a new name Sico saris and the weave is so light that the saree can be packed in a matchbox.",history:abids|state:telangana|costume:gadwal_sari,A,bank,0.9956293106079102,"Which costume, most notable for the zari work on its saris, is traditionally worn in the same state where the historic site Abids (a central commercial district named after British resident Albert Abid) is located?",Removed extra identifiers and smoothed sentence structure for readability.
"Which monastery, famous for buddhist monastery is located 6 km from gyalshing city, is associated with the same state where the tourist attraction Kitam Bird Sanctuary (known for protected area and wildlife sanctuary located about 19 km (12 mi)) is located?",Pemayangtse Monastery,"A protected area and wildlife sanctuary located about 19 km (12 mi)|A Buddhist monastery is located 6 km from Gyalshing city, the district headquarters,110 km west of Gangtok.Planned, designed and founded by Lama Lhatsun Chempo in 1647",tourism:kitam_bird_sanctuary|state:sikkim|religion:pemayangtse_monastery,A,bank,0.9980257749557495,"Which monastery, known as a Buddhist monastery located 6 km from Gyalshing city, is situated in the same state where the tourist attraction Kitam Bird Sanctuary (a protected wildlife area located about 19 km away) is found?",Improved grammar and clarified the location reference without changing the meaning.
"Which dish, famous for black tea is manufactured specifically from the plant camellia sinensis, originated from the same state where the festival Karam Puja (known for dedicated to the worship of karam-devta) is celebrated?",Assam tea,"A tribal harvest festival, dedicated to the worship of Karam-Devta, the god of power, youth and youthfulness,celebrated for good harvest and health. The festival is held on the 11th day of a full moon (Purnima) of the Hindu month of Bhado, which falls between August and September, unmarried girls fast and grow seedlings for 7-9 days|A black tea is manufactured specifically from the plant Camellia sinensis,now mostly grown at or near sea level and is known for its body, briskness, malty flavour, and strong, bright colour",festival:karam_puja|state:assam|cuisine:assam_tea,A,bank,0.9950821399688721,"Which dish, known for its black tea manufactured specifically from the Camellia sinensis plant, originated in the same state where the festival Karam Puja (dedicated to the worship of Karam-Devta) is celebrated?",Rephrased for clarity and better sentence flow while keeping all details intact.
"Which historic site, famous for protected lepcha reserve in dzongu, is associated with the same state where the monastery Pemayangtse Monastery (known for buddhist monastery is located 6 km from gyalshing city) is associated?",Preserving India's Rich Heritage,"A Buddhist monastery is located 6 km from Gyalshing city, the district headquarters,110 km west of Gangtok.Planned, designed and founded by Lama Lhatsun Chempo in 1647|A protected Lepcha reserve in Dzongu, legally designed to preserve their cultural heritage",religion:pemayangtse_monastery|state:sikkim|history:preserving_india_s_rich_heritage,A,bank,0.998097836971283,"Which historic site, known as a protected Lepcha reserve in Dzongu, is located in the same state where the Pemayangtse Monastery (a Buddhist monastery located 6 km from Gyalshing city) is situated?",Removed awkward phrasing and fixed grammar for smoother readability.
"Which festival, famous for three-day khichdi at the holy land of guru gorakhnath, originated from the same state where the art piece Zari work (known for even thread traditionally made of fine gold or silver this thread is) was crafted?",Khichdi Mela,"An even thread traditionally made of fine gold or silver This thread is woven into fabrics, primarily silk, to make intricate patterns and elaborate designs of embroidery called zardozi. It was popularised during the Moghul era; the port of Surat was linked to the Meccan pilgrimage route which served as a major factor for re-introducing this ancient craft|A three-day Khichdi at the holy land of Guru Gorakhnath.",art:zari_work|state:uttar_pradesh|festival:khichdi_mela,C,bank,0.9972192049026489,"Which festival, known for the three-day Khichdi celebration at the holy land of Guru Gorakhnath, originated in the same state where the art form Zari work (traditionally using fine gold or silver thread) was crafted?",Simplified sentence and corrected wording for natural flow.
"Which church, famous for diocese of the church of south india, is associated with the same state where the wildlife sanctuary Shivaram Wildlife Sanctuary (known for riverine forest mixed with teak and terminalia is spread over 36) is associated?",Diocese of Dornakal of the Church of South India,"A wildlife preserve,riverine forest mixed with teak and terminalia is spread over 36.29 square kilometres (14.01 sq mi) and is home to marsh crocodiles from the river Godavari.|A diocese of the Church of South India,the Church of South India is a United Protestant denomination",tourism:shivaram_wildlife_sanctuary|state:telangana|history:diocese_dornakal_church_south_india,A,bank,0.9944027066230774,"Which church, known for being part of the Diocese of the Church of South India, is located in the same state where the Shivaram Wildlife Sanctuary (a riverine forest spread over 36 sq. km with teak and Terminalia trees) is situated?",Reworded to make location and association clearer.
"Which dish, famous for himachali dish made from wheat flour, originated in the same state where the language Takri script (known for abugida writing system of the brahmic family of scripts) is spoken?",Siddu,"An abugida writing system of the Brahmic family of scripts. It is derived from the Sharada script. It is used to write a number of Western Pahari Languages.|A Himachali dish made from wheat flour, with yeast playing a key role in its preparation by allowing the dough to rise over several minutes or hours stuffed with various fillings such as green peas, walnuts, pudina, and herbs.",language:takri_script|state:himachal_pradesh|cuisine:siddu,A,bank,0.9947243332862854,"Which dish, known as a Himachali delicacy made from wheat flour, originated in the same state where the Takri script (an abugida writing system of the Brahmic family) is or was traditionally used?",Adjusted phrasing for clarity and fixed small grammatical errors.
"Which tourist attraction, famous for a town located near the end point of the Kaveri River, is associated with the same state where the historic site Kanchi Kamakoti Peetham is associated?",Poompuhar,"A Hindu religious center of Vedic learning, located near the Kamakshi Amman Temple.|A town located near the end point of the Kaveri river, aside the sea coast, mentioned in the Periplus of the Erythraean Sea.",history:kanchi_kamakoti_peetham|state:tamil_nadu|tourism:poompuhar,A,gold,NA,"Which tourist attraction, known as a town located near the endpoint of the Kaveri River, is situated in the same state where the historic site Kanchi Kamakoti Peetham is located?",Minor rewording for better sentence flow without losing detail.
"Which festival, famous for spring festivity associated with agriculture celebrated, is celebrated in the same state where the dish Assam tea (known for black tea is manufactured specifically from the plant camellia sinensis) originated?",Ali Ai Ligang festival,"A black tea is manufactured specifically from the plant Camellia sinensis,now mostly grown at or near sea level and is known for its body, briskness, malty flavour, and strong, bright colour|A spring festivity associated with agriculture celebrated by the tribal people and other Northeast Indian states on the occasion of the beginning of the Ahu paddy cultivation. The festival marks onset of sowing seeds",cuisine:assam_tea|state:assam|festival:ali_ai_ligang_festival,A,bank,0.9988282322883606,"Which festival, known as a spring festivity associated with agriculture, is celebrated in the same state where the dish Assam Tea (a black tea manufactured specifically from the Camellia sinensis plant) originated?",Smoothed grammar and kept all key facts intact.
"Which festival, famous for annual celebration during the month of april, is celebrated in the same state where the art piece Gopurams (known for at the entrance of a hindu temple) is associated?",Chithirai Festival,"A monumental entrance tower, usually ornate, at the entrance of a Hindu temple, in the South Indian architecture,In other areas of India they are much more modest, while in Southern Indian temples they are very often by far the highest part of the temple.|An annual celebration during the month of April. The festival, celebrated during the month of Chithirai, is associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati and her consort Sundareshwar, a form of Shiva.It lasts for one month.",art:gopurams|state:tamil_nadu|festival:chithirai_festival,A,bank,0.9961581826210022,"Which festival, known for its annual celebration during the month of April, is celebrated in the same state where the art form Gopurams (ornate towers built at the entrance of Hindu temples) is associated?","Improved clarity and readability, especially in describing timing and location."
"Which historic polity, famous for late medieval hindu empire, was ruled in the same state where the costume Kanchipuram Silk Sarees (known for saris are woven from pure mulberry silk thread) was woven?",Vijayanagara Empire,"The saris are woven from pure mulberry silk thread, recognized as a Geographical indication by the Government of India in 2005-2006.As of 2008, an estimated 5,000 families were involved in sari production. There are 25 silk and cotton yarn industries and 60 dyeing units in the region.|A late medieval Hindu empire. It was established in 1336 by the brothers Harihara I and Bukka Raya I of the Sangama dynasty, belonging to the Yadava clan of Chandravamsa lineage.",costume:kanchipuram_silk_sarees|state:tamil_nadu|history:vijayanagara_empire,A,bank,0.9944301247596741,"Which historic polity, known as a late-medieval Hindu empire, ruled in the same state where Kanchipuram silk sarees — woven from pure mulberry (mulberry) silk thread — are produced?","Fixed word order and grammar, capitalized “Hindu,” and rephrased the Kanchipuram saree part to a clean “are produced” phrase."
"Which costume, famous for conical headgear traditionally worn, is worn in the same state where the festival Kali Puja (known for dedicated to the hindu goddess kali celebrated on the new moon day) is celebrated?",Topor headgear,"A festival dedicated to the Hindu goddess Kali celebrated on the new moon day of the Hindu calendar month of Ashwayuja or Kartika|A type of conical headgear traditionally worn by the Bengali groom as part of the Bengali Hindu wedding ceremony for good luck, the topor is typically fragile, made of sholapith and white in colour",festival:kali_puja|state:west_bengal|costume:topor_headgear,C,bank,0.9975467324256897,"Which costume, known for its conical headgear traditionally worn by Bengali grooms, is associated with the same state where Kali Puja — a festival dedicated to the Hindu goddess Kali and celebrated on the new-moon day — is observed?","Clarified who wears the headgear, fixed capitalization and the festival phrasing, and smoothed the sentence flow."
